model;exploration;strategy;alpha;gamma;epsilon;similarity;child_profile;success_rate_mean;success_rate_std;avg_attempts_mean;avg_attempts_std
Expected-SARSA;decaying_epsilon;A;0.3;0.6;0.15;cosine;consistent;77.0;4.898979485566356;2.8433333333333337;0.0953356643071673
Expected-SARSA;decaying_epsilon;A;0.3;0.6;0.15;euclidean;consistent;78.66666666666667;2.357022603955158;2.8333333333333335;0.15062831370260016
Expected-SARSA;decaying_epsilon;B;0.3;0.6;0.15;cosine;consistent;73.33333333333333;4.189935029992178;3.0766666666666667;0.22305953365762135
Expected-SARSA;decaying_epsilon;B;0.3;0.6;0.15;euclidean;consistent;69.0;0.816496580927726;3.246666666666666;0.11469767022723494
Expected-SARSA;decaying_epsilon;C;0.3;0.6;0.15;cosine;consistent;82.66666666666667;2.6246692913372702;3.0566666666666666;0.17782638224465513
Expected-SARSA;decaying_epsilon;C;0.3;0.6;0.15;euclidean;consistent;90.66666666666667;2.8674417556808756;2.8033333333333332;0.06649979114419996
Expected-SARSA;decaying_epsilon;D;0.3;0.6;0.15;cosine;consistent;86.66666666666667;1.699673171197595;2.9133333333333336;0.06342099196813478
Expected-SARSA;decaying_epsilon;D;0.3;0.6;0.15;euclidean;consistent;86.0;3.7416573867739413;2.8666666666666667;0.11556623882239805
Expected-SARSA;decaying_epsilon;E;0.3;0.6;0.15;cosine;consistent;81.66666666666667;0.4714045207910317;3.1;0.15121728296285014
Expected-SARSA;decaying_epsilon;E;0.3;0.6;0.15;euclidean;consistent;88.33333333333333;5.436502143433363;2.956666666666667;0.3340991203553554
Expected-SARSA;ucb;A;0.3;0.6;0.15;cosine;consistent;74.0;1.4142135623730951;2.89;0.0
Expected-SARSA;ucb;A;0.3;0.6;0.15;euclidean;consistent;84.33333333333333;1.247219128924647;2.6633333333333336;0.055577773335110346
Expected-SARSA;ucb;B;0.3;0.6;0.15;cosine;consistent;65.66666666666667;7.039570693980961;3.453333333333333;0.17632041540584265
Expected-SARSA;ucb;B;0.3;0.6;0.15;euclidean;consistent;66.66666666666667;0.9428090415820634;3.3333333333333335;0.0833999733546455
Expected-SARSA;ucb;C;0.3;0.6;0.15;cosine;consistent;84.0;2.160246899469287;3.16;0.0804155872120988
Expected-SARSA;ucb;C;0.3;0.6;0.15;euclidean;consistent;85.0;1.632993161855452;3.0766666666666667;0.11145502331533659
Expected-SARSA;ucb;D;0.3;0.6;0.15;cosine;consistent;78.33333333333333;5.436502143433363;3.1966666666666668;0.08259674462242568
Expected-SARSA;ucb;D;0.3;0.6;0.15;euclidean;consistent;78.33333333333333;1.699673171197595;3.223333333333333;0.17326921891156039
Expected-SARSA;ucb;E;0.3;0.6;0.15;cosine;consistent;87.33333333333333;4.109609335312651;3.0366666666666666;0.08178562764256872
Expected-SARSA;ucb;E;0.3;0.6;0.15;euclidean;consistent;86.66666666666667;4.988876515698588;3.0933333333333337;0.19396448701301547
Double-Q-Learning;epsilon_greedy;A;0.3;0.6;0.15;cosine;consistent;75.0;2.8284271247461903;2.8766666666666665;0.15965240019770727
Double-Q-Learning;epsilon_greedy;A;0.3;0.6;0.15;euclidean;consistent;77.66666666666667;2.494438257849294;2.85;0.03265986323710907
Double-Q-Learning;epsilon_greedy;B;0.3;0.6;0.15;cosine;consistent;68.66666666666667;7.717224601860154;3.1799999999999997;0.3550586805961328
Double-Q-Learning;epsilon_greedy;B;0.3;0.6;0.15;euclidean;consistent;67.33333333333333;1.247219128924647;3.3166666666666664;0.06342099196813478
Double-Q-Learning;epsilon_greedy;C;0.3;0.6;0.15;cosine;consistent;87.66666666666667;0.4714045207910317;2.983333333333333;0.10338708279513883
Double-Q-Learning;epsilon_greedy;C;0.3;0.6;0.15;euclidean;consistent;88.0;2.449489742783178;3.1033333333333335;0.21171259344267218
Double-Q-Learning;epsilon_greedy;D;0.3;0.6;0.15;cosine;consistent;84.0;3.265986323710904;3.0933333333333337;0.03399346342395193
Double-Q-Learning;epsilon_greedy;D;0.3;0.6;0.15;euclidean;consistent;83.66666666666667;6.548960901462833;2.9766666666666666;0.2876726534718856
Double-Q-Learning;epsilon_greedy;E;0.3;0.6;0.15;cosine;consistent;84.66666666666667;5.2493385826745405;3.0933333333333333;0.16357125528513725
Double-Q-Learning;epsilon_greedy;E;0.3;0.6;0.15;euclidean;consistent;83.33333333333333;1.699673171197595;3.026666666666667;0.06128258770283406
Double-Q-Learning;decaying_epsilon;A;0.3;0.6;0.15;cosine;consistent;77.66666666666667;3.0912061651652345;2.8900000000000006;0.043204937989385774
Double-Q-Learning;decaying_epsilon;A;0.3;0.6;0.15;euclidean;consistent;81.33333333333333;2.357022603955158;2.75;0.02160246899469275
Double-Q-Learning;decaying_epsilon;B;0.3;0.6;0.15;cosine;consistent;68.0;9.899494936611669;3.2533333333333334;0.35910382280832864
Double-Q-Learning;decaying_epsilon;B;0.3;0.6;0.15;euclidean;consistent;69.0;1.632993161855452;3.2166666666666663;0.10873004286866736
Double-Q-Learning;decaying_epsilon;C;0.3;0.6;0.15;cosine;consistent;82.66666666666667;1.699673171197595;3.15;0.07071067811865492
Double-Q-Learning;decaying_epsilon;C;0.3;0.6;0.15;euclidean;consistent;86.66666666666667;2.357022603955158;3.2699999999999996;0.07788880963698606
Double-Q-Learning;decaying_epsilon;D;0.3;0.6;0.15;cosine;consistent;83.66666666666667;2.0548046676563256;3.06;0.12192894105447916
Double-Q-Learning;decaying_epsilon;D;0.3;0.6;0.15;euclidean;consistent;83.33333333333333;1.8856180831641267;3.063333333333334;0.0449691252107736
Double-Q-Learning;decaying_epsilon;E;0.3;0.6;0.15;cosine;consistent;83.33333333333333;1.699673171197595;3.17;0.26870057685088816
Double-Q-Learning;decaying_epsilon;E;0.3;0.6;0.15;euclidean;consistent;87.0;2.8284271247461903;3.03;0.17454703282114734
Double-Q-Learning;ucb;A;0.3;0.6;0.15;cosine;consistent;77.66666666666667;2.0548046676563256;2.723333333333333;0.11323525167642019
Double-Q-Learning;ucb;A;0.3;0.6;0.15;euclidean;consistent;84.0;2.160246899469287;2.766666666666667;0.10402991022884822
Double-Q-Learning;ucb;B;0.3;0.6;0.15;cosine;consistent;61.666666666666664;1.8856180831641267;3.596666666666667;0.03299831645537226
Double-Q-Learning;ucb;B;0.3;0.6;0.15;euclidean;consistent;63.666666666666664;4.4969125210773475;3.44;0.2046134567096374
Double-Q-Learning;ucb;C;0.3;0.6;0.15;cosine;consistent;81.66666666666667;3.681787005729087;3.3266666666666667;0.17249798710580813
